_id,Month,Year,Region,Commodity,Tenklbs
ObjectId("5e8bacc58418f12a4f9e5beb"),3,2020,California,Celery,18
ObjectId("5e8bacc58418f12a4f9e5bec"),3,2020,PNW,Onions Dry,82
ObjectId("5e8bacc58418f12a4f9e5bed"),3,2020,PNW,Potatoes,25
ObjectId("5e8bacc58418f12a4f9e5bee"),3,2020,PNW,Onions Dry,408
ObjectId("5e8bacc58418f12a4f9e5bef"),3,2020,PNW,Potatoes,208
ObjectId("5e8bacc58418f12a4f9e5bf0"),3,2020,Texas,Beets,1
ObjectId("5e8bacc58418f12a4f9e5bf1"),3,2020,Texas,Cabbage,48
ObjectId("5e8bacc58418f12a4f9e5bf2"),3,2020,Texas,Collard Greens,1
ObjectId("5e8bacc58418f12a4f9e5bf3"),3,2020,Texas,Dandelion Greens,0
ObjectId("5e8bacc58418f12a4f9e5bf4"),3,2020,California,Kale Greens,1
ObjectId("5e8bacc58418f12a4f9e5bf5"),3,2020,California,Lettuce, Green Leaf,2
ObjectId("5e8bacc58418f12a4f9e5bf6"),3,2020,California,Lettuce, Iceberg,30
ObjectId("5e8bacc58418f12a4f9e5bf7"),3,2020,California,Lettuce, Red Leaf,1
ObjectId("5e8bacc58418f12a4f9e5bf8"),3,2020,California,Lettuce, Romaine,17
ObjectId("5e8bacc58418f12a4f9e5bf9"),3,2020,California,Artichokes,1
ObjectId("5e8bacc58418f12a4f9e5bfa"),3,2020,California,Broccoli,6
ObjectId("5e8bacc58418f12a4f9e5bfb"),3,2020,California,Brussels Sprouts,1
ObjectId("5e8bacc58418f12a4f9e5bfc"),3,2020,California,Cabbage,2
ObjectId("5e8bacc58418f12a4f9e5bfd"),3,2020,California,Cauliflower,22
ObjectId("5e8bacc58418f12a4f9e5bfe"),3,2020,California,Celery,12
ObjectId("5e8bacc58418f12a4f9e5bff"),3,2020,California,Endive,0
ObjectId("5e8bacc58418f12a4f9e5c00"),3,2020,California,Escarole,1
ObjectId("5e8bacc58418f12a4f9e5c01"),3,2020,California,Lettuce, Boston,0
ObjectId("5e8bacc58418f12a4f9e5c02"),3,2020,California,Lettuce, Green Leaf,3
ObjectId("5e8bacc58418f12a4f9e5c03"),3,2020,California,Lettuce, Red Leaf,2
ObjectId("5e8bacc58418f12a4f9e5c04"),3,2020,California,Lettuce, Romaine,27
ObjectId("5e8bacc58418f12a4f9e5c05"),3,2020,California,Spinach,8
ObjectId("5e8bacc58418f12a4f9e5c06"),3,2020,California,Artichokes,2
ObjectId("5e8bacc58418f12a4f9e5c07"),3,2020,California,Brussels Sprouts,1
ObjectId("5e8bacc58418f12a4f9e5c08"),3,2020,California,Cabbage,21
ObjectId("5e8bacc58418f12a4f9e5c09"),3,2020,California,Celery,343
ObjectId("5e8bacc58418f12a4f9e5c0a"),3,2020,California,Chinese Cabbage,0
ObjectId("5e8bacc58418f12a4f9e5c0b"),3,2020,California,Endive,0
ObjectId("5e8bacc58418f12a4f9e5c0c"),3,2020,California,Escarole,0
ObjectId("5e8bacc58418f12a4f9e5c0d"),3,2020,California,Kale Greens,5
ObjectId("5e8bacc58418f12a4f9e5c0e"),3,2020,California,Lettuce, Green Leaf,2
ObjectId("5e8bacc58418f12a4f9e5c0f"),3,2020,California,Lettuce, Iceberg,8
ObjectId("5e8bacc58418f12a4f9e5c10"),3,2020,California,Lettuce, Red Leaf,2
ObjectId("5e8bacc58418f12a4f9e5c11"),3,2020,California,Lettuce, Romaine,11
ObjectId("5e8bacc58418f12a4f9e5c12"),3,2020,California,Parsley,3
ObjectId("5e8bacc58418f12a4f9e5c13"),3,2020,California,Radishes,15
ObjectId("5e8bacc58418f12a4f9e5c14"),3,2020,California,Spinach,2
ObjectId("5e8bacc58418f12a4f9e5c15"),3,2020,California,Strawberries,366
ObjectId("5e8bacc58418f12a4f9e5c16"),3,2020,California,Broccoli,14
ObjectId("5e8bacc58418f12a4f9e5c17"),3,2020,California,Blueberries,1
ObjectId("5e8bacc58418f12a4f9e5c18"),3,2020,California,Endive,0
ObjectId("5e8bacc58418f12a4f9e5c19"),3,2020,California,Escarole,0
ObjectId("5e8bacc58418f12a4f9e5c1a"),3,2020,California,Lettuce, Boston,1
ObjectId("5e8bacc58418f12a4f9e5c1b"),3,2020,California,Lettuce, Green Leaf,5
ObjectId("5e8bacc58418f12a4f9e5c1c"),3,2020,California,Lettuce, Iceberg,287
ObjectId("5e8bacc58418f12a4f9e5c1d"),3,2020,California,Lettuce, Red Leaf,2
ObjectId("5e8bacc58418f12a4f9e5c1e"),3,2020,California,Lettuce, Romaine,69
ObjectId("5e8bacc58418f12a4f9e5c1f"),3,2020,California,Artichokes,13
ObjectId("5e8bacc58418f12a4f9e5c20"),3,2020,California,Broccoli,83
ObjectId("5e8bacc58418f12a4f9e5c21"),3,2020,California,Cauliflower,55
ObjectId("5e8bacc58418f12a4f9e5c22"),3,2020,California,Escarole,0
ObjectId("5e8bacc58418f12a4f9e5c23"),3,2020,California,Lettuce, Boston,1
ObjectId("5e8bacc58418f12a4f9e5c24"),3,2020,California,Lettuce, Green Leaf,8
ObjectId("5e8bacc58418f12a4f9e5c25"),3,2020,California,Lettuce, Iceberg,29
ObjectId("5e8bacc58418f12a4f9e5c26"),3,2020,California,Lettuce, Red Leaf,3
ObjectId("5e8bacc58418f12a4f9e5c27"),3,2020,California,Lettuce, Romaine,175
ObjectId("5e8bacc58418f12a4f9e5c28"),3,2020,California,Misc Asian,2
ObjectId("5e8bacc58418f12a4f9e5c29"),3,2020,California,Misc Herbs,1
ObjectId("5e8bacc58418f12a4f9e5c2a"),3,2020,California,Spinach,1
ObjectId("5e8bacc58418f12a4f9e5c2b"),3,2020,California,Strawberries,11
ObjectId("5e8bacc58418f12a4f9e5c2c"),3,2020,California,Blueberries,1
ObjectId("5e8bacc58418f12a4f9e5c2d"),3,2020,California,Broccoli,55
ObjectId("5e8bacc58418f12a4f9e5c2e"),3,2020,California,Cauliflower,54
ObjectId("5e8bacc58418f12a4f9e5c2f"),3,2020,California,Chinese Cabbage,13
ObjectId("5e8bacc58418f12a4f9e5c30"),3,2020,California,Lettuce, Green Leaf,2
ObjectId("5e8bacc58418f12a4f9e5c31"),3,2020,California,Lettuce, Iceberg,53
ObjectId("5e8bacc58418f12a4f9e5c32"),3,2020,California,Lettuce, Red Leaf,1
ObjectId("5e8bacc58418f12a4f9e5c33"),3,2020,California,Lettuce, Romaine,37
ObjectId("5e8bacc58418f12a4f9e5c34"),3,2020,California,Misc Asian,11
ObjectId("5e8bacc58418f12a4f9e5c35"),3,2020,California,Misc Herbs,4
ObjectId("5e8bacc58418f12a4f9e5c36"),3,2020,California,Parsley,3
ObjectId("5e8bacc58418f12a4f9e5c37"),3,2020,California,Raspberries,0
ObjectId("5e8bacc58418f12a4f9e5c38"),3,2020,California,Spinach,3
ObjectId("5e8bacc58418f12a4f9e5c39"),3,2020,California,Strawberries,224
ObjectId("5e8bacc58418f12a4f9e5c3a"),3,2020,California,Blackberries,0
ObjectId("5e8bacc58418f12a4f9e5c3b"),3,2020,California,Blueberries,9
ObjectId("5e8bacc58418f12a4f9e5c3c"),3,2020,California,Misc Asian,0
ObjectId("5e8bacc58418f12a4f9e5c3d"),3,2020,California,Misc Herbs,12
ObjectId("5e8bacc58418f12a4f9e5c3e"),3,2020,California,Peas Green,0
ObjectId("5e8bacc58418f12a4f9e5c3f"),3,2020,California,Raspberries,17
ObjectId("5e8bacc58418f12a4f9e5c40"),3,2020,Colorado,Potatoes,915
ObjectId("5e8bacc58418f12a4f9e5c41"),3,2020,Florida,Beans,55
ObjectId("5e8bacc58418f12a4f9e5c42"),3,2020,Florida,Cabbage,93
ObjectId("5e8bacc58418f12a4f9e5c43"),3,2020,Florida,Celery,31
ObjectId("5e8bacc58418f12a4f9e5c44"),3,2020,Florida,Chinese Cabbage,3
ObjectId("5e8bacc58418f12a4f9e5c45"),3,2020,Florida,Corn, Sweet,181
ObjectId("5e8bacc58418f12a4f9e5c46"),3,2020,Florida,Cucumbers,62
ObjectId("5e8bacc58418f12a4f9e5c47"),3,2020,Florida,Eggplant,16
ObjectId("5e8bacc58418f12a4f9e5c48"),3,2020,Florida,Endive,3
ObjectId("5e8bacc58418f12a4f9e5c49"),3,2020,Florida,Escarole,6
ObjectId("5e8bacc58418f12a4f9e5c4a"),3,2020,Florida,Lettuce, Boston,0
ObjectId("5e8bacc58418f12a4f9e5c4b"),3,2020,Florida,Lettuce, Iceberg,6
ObjectId("5e8bacc58418f12a4f9e5c4c"),3,2020,Florida,Lettuce, Romaine,5
ObjectId("5e8bacc58418f12a4f9e5c4d"),3,2020,Florida,Misc Herbs,1
ObjectId("5e8bacc58418f12a4f9e5c4e"),3,2020,Florida,Parsley,0
ObjectId("5e8bacc58418f12a4f9e5c4f"),3,2020,Florida,Peppers, Bell Type,98
ObjectId("5e8bacc58418f12a4f9e5c50"),3,2020,Florida,Peppers, Other,2
ObjectId("5e8bacc58418f12a4f9e5c51"),3,2020,Florida,Radishes,10
ObjectId("5e8bacc58418f12a4f9e5c52"),3,2020,Florida,Squash,33
ObjectId("5e8bacc58418f12a4f9e5c53"),3,2020,Florida,Strawberries,24
ObjectId("5e8bacc58418f12a4f9e5c54"),3,2020,Florida,Tomatoes,147
ObjectId("5e8bacc58418f12a4f9e5c55"),3,2020,Florida,Tomatoes, Cherry,2
ObjectId("5e8bacc58418f12a4f9e5c56"),3,2020,Florida,Tomatoes, Grape Type,22
ObjectId("5e8bacc58418f12a4f9e5c57"),3,2020,Florida,Tomatoes, Plum Type,51
ObjectId("5e8bacc58418f12a4f9e5c58"),3,2020,Florida,Avocados,1
ObjectId("5e8bacc58418f12a4f9e5c59"),3,2020,Florida,Blueberries,64
ObjectId("5e8bacc58418f12a4f9e5c5a"),3,2020,Florida,Potatoes,190
ObjectId("5e8bacc58418f12a4f9e5c5b"),3,2020,Florida,Watermelons, Seedless,24
ObjectId("5e8bacc58418f12a4f9e5c5c"),3,2020,Great Lakes,Potatoes,73
ObjectId("5e8bacc58418f12a4f9e5c5d"),3,2020,Great Lakes,Potatoes,8
ObjectId("5e8bacc58418f12a4f9e5c5e"),3,2020,Great Lakes,Potatoes,269
ObjectId("5e8bacc58418f12a4f9e5c5f"),3,2020,Mexico-Arizona,Asparagus,4
ObjectId("5e8bacc58418f12a4f9e5c60"),3,2020,Mexico-Arizona,Bananas,24
ObjectId("5e8bacc58418f12a4f9e5c61"),3,2020,Mexico-Arizona,Beans,33
ObjectId("5e8bacc58418f12a4f9e5c62"),3,2020,Mexico-Arizona,Blueberries,20
ObjectId("5e8bacc58418f12a4f9e5c63"),3,2020,Mexico-Arizona,Broccoli,9
ObjectId("5e8bacc58418f12a4f9e5c64"),3,2020,Mexico-Arizona,Brussels Sprouts,17
ObjectId("5e8bacc58418f12a4f9e5c65"),3,2020,Mexico-Arizona,Cactus Leaf (nopales),3
ObjectId("5e8bacc58418f12a4f9e5c66"),3,2020,Mexico-Arizona,Carrots,4
ObjectId("5e8bacc58418f12a4f9e5c67"),3,2020,Mexico-Arizona,Cauliflower,1
ObjectId("5e8bacc58418f12a4f9e5c68"),3,2020,Mexico-Arizona,Corn, Sweet,76
ObjectId("5e8bacc58418f12a4f9e5c69"),3,2020,Mexico-Arizona,Cucumbers,316
ObjectId("5e8bacc58418f12a4f9e5c6a"),3,2020,Mexico-Arizona,Edible Flowers,0
ObjectId("5e8bacc58418f12a4f9e5c6b"),3,2020,Mexico-Arizona,Eggplant,38
ObjectId("5e8bacc58418f12a4f9e5c6c"),3,2020,Mexico-Arizona,Grapefruit,6
ObjectId("5e8bacc58418f12a4f9e5c6d"),3,2020,Mexico-Arizona,Misc Asian,15
ObjectId("5e8bacc58418f12a4f9e5c6e"),3,2020,Mexico-Arizona,Misc Herbs,0
ObjectId("5e8bacc58418f12a4f9e5c6f"),3,2020,Mexico-Arizona,Misc Tropical,9
ObjectId("5e8bacc58418f12a4f9e5c70"),3,2020,Mexico-Arizona,Oranges,16
ObjectId("5e8bacc58418f12a4f9e5c71"),3,2020,Mexico-Arizona,Peppers, Bell Type,171
ObjectId("5e8bacc58418f12a4f9e5c72"),3,2020,Mexico-Arizona,Peppers, Other,79
ObjectId("5e8bacc58418f12a4f9e5c73"),3,2020,Mexico-Arizona,Radishes,0
ObjectId("5e8bacc58418f12a4f9e5c74"),3,2020,Mexico-Arizona,Spinach,0
ObjectId("5e8bacc58418f12a4f9e5c75"),3,2020,Mexico-Arizona,Squash,311
ObjectId("5e8bacc58418f12a4f9e5c76"),3,2020,Mexico-Arizona,Tomatoes,77
ObjectId("5e8bacc58418f12a4f9e5c77"),3,2020,Mexico-Arizona,Tomatoes, Cherry,9
ObjectId("5e8bacc58418f12a4f9e5c78"),3,2020,Mexico-Arizona,Tomatoes, Grape Type,30
ObjectId("5e8bacc58418f12a4f9e5c79"),3,2020,Mexico-Arizona,Tomatoes, Plum Type,279
ObjectId("5e8bacc58418f12a4f9e5c7a"),3,2020,Mexico-Arizona,Watermelons, Seedless,298
ObjectId("5e8bacc58418f12a4f9e5c7b"),3,2020,Mexico-Arizona,Mangoes,111
ObjectId("5e8bacc58418f12a4f9e5c7c"),3,2020,Mexico-California,Artichokes,4
ObjectId("5e8bacc58418f12a4f9e5c7d"),3,2020,Mexico-California,Asparagus,8
ObjectId("5e8bacc58418f12a4f9e5c7e"),3,2020,Mexico-California,Beets,1
ObjectId("5e8bacc58418f12a4f9e5c7f"),3,2020,Mexico-California,Broccoli,3
ObjectId("5e8bacc58418f12a4f9e5c80"),3,2020,Mexico-California,Brussels Sprouts,42
ObjectId("5e8bacc58418f12a4f9e5c81"),3,2020,Mexico-California,Cabbage,3
ObjectId("5e8bacc58418f12a4f9e5c82"),3,2020,Mexico-California,Carrots,1
ObjectId("5e8bacc58418f12a4f9e5c83"),3,2020,Mexico-California,Celery,5
ObjectId("5e8bacc58418f12a4f9e5c84"),3,2020,Mexico-California,Collard Greens,0
ObjectId("5e8bacc58418f12a4f9e5c85"),3,2020,Mexico-California,Kale Greens,6
ObjectId("5e8bacc58418f12a4f9e5c86"),3,2020,Mexico-California,Lettuce, Iceberg,2
ObjectId("5e8bacc58418f12a4f9e5c87"),3,2020,Mexico-California,Lettuce, Other,3
ObjectId("5e8bacc58418f12a4f9e5c88"),3,2020,Mexico-California,Lettuce, Romaine,4
ObjectId("5e8bacc58418f12a4f9e5c89"),3,2020,Mexico-California,Misc Herbs,3
ObjectId("5e8bacc58418f12a4f9e5c8a"),3,2020,Mexico-California,Onions Green,15
ObjectId("5e8bacc58418f12a4f9e5c8b"),3,2020,Mexico-California,Parsley,1
ObjectId("5e8bacc58418f12a4f9e5c8c"),3,2020,Mexico-California,Radishes,16
ObjectId("5e8bacc58418f12a4f9e5c8d"),3,2020,Mexico-California,Swiss Chard,0
ObjectId("5e8bacc58418f12a4f9e5c8e"),3,2020,Mexico-California,Strawberries,124
ObjectId("5e8bacc58418f12a4f9e5c8f"),3,2020,Mexico-NewMexico,Misc Tropical,3
ObjectId("5e8bacc58418f12a4f9e5c90"),3,2020,Mexico-NewMexico,Peppers, Other,4
ObjectId("5e8bacc58418f12a4f9e5c91"),3,2020,Mexico-Texas,Cactus Leaf (nopales),0
ObjectId("5e8bacc58418f12a4f9e5c92"),3,2020,Mexico-Texas,Carrots,8
ObjectId("5e8bacc58418f12a4f9e5c93"),3,2020,Mexico-Texas,Corn, Sweet,2
ObjectId("5e8bacc58418f12a4f9e5c94"),3,2020,Mexico-Texas,Bananas,4
ObjectId("5e8bacc58418f12a4f9e5c95"),3,2020,Mexico-Texas,Cactus Leaf (nopales),1
ObjectId("5e8bacc58418f12a4f9e5c96"),3,2020,Mexico-Texas,Avocados,24
ObjectId("5e8bacc58418f12a4f9e5c97"),3,2020,Mexico-Texas,Bananas,12
ObjectId("5e8bacc58418f12a4f9e5c98"),3,2020,Mexico-Texas,Blackberries,30
ObjectId("5e8bacc58418f12a4f9e5c99"),3,2020,Mexico-Texas,Blueberries,6
ObjectId("5e8bacc58418f12a4f9e5c9a"),3,2020,Mexico-Texas,Broccoli,22
ObjectId("5e8bacc58418f12a4f9e5c9b"),3,2020,Mexico-Texas,Cabbage,3
ObjectId("5e8bacc58418f12a4f9e5c9c"),3,2020,Mexico-Texas,Carrots,0
ObjectId("5e8bacc58418f12a4f9e5c9d"),3,2020,Mexico-Texas,Cauliflower,1
ObjectId("5e8bacc58418f12a4f9e5c9e"),3,2020,Mexico-Texas,Celery,8
ObjectId("5e8bacc58418f12a4f9e5c9f"),3,2020,Mexico-Texas,Cucumbers,32
ObjectId("5e8bacc58418f12a4f9e5ca0"),3,2020,Mexico-Texas,Eggplant,4
ObjectId("5e8bacc58418f12a4f9e5ca1"),3,2020,Mexico-Texas,Lettuce, Iceberg,27
ObjectId("5e8bacc58418f12a4f9e5ca2"),3,2020,Mexico-Texas,Lettuce, Other,24
ObjectId("5e8bacc58418f12a4f9e5ca3"),3,2020,Mexico-Texas,Lettuce, Romaine,1
ObjectId("5e8bacc58418f12a4f9e5ca4"),3,2020,Mexico-Texas,Mushrooms,6
ObjectId("5e8bacc58418f12a4f9e5ca5"),3,2020,Mexico-Texas,Peppers, Bell Type,19
ObjectId("5e8bacc58418f12a4f9e5ca6"),3,2020,Mexico-Texas,Peppers, Other,6
ObjectId("5e8bacc58418f12a4f9e5ca7"),3,2020,Mexico-Texas,Raspberries,35
ObjectId("5e8bacc58418f12a4f9e5ca8"),3,2020,Mexico-Texas,Tomatoes,160
ObjectId("5e8bacc58418f12a4f9e5ca9"),3,2020,Mexico-Texas,Avocados,120
ObjectId("5e8bacc58418f12a4f9e5caa"),3,2020,Mexico-Texas,Bananas,53
ObjectId("5e8bacc58418f12a4f9e5cab"),3,2020,Mexico-Texas,Beans,6
ObjectId("5e8bacc58418f12a4f9e5cac"),3,2020,Mexico-Texas,Blackberries,13
ObjectId("5e8bacc58418f12a4f9e5cad"),3,2020,Mexico-Texas,Blueberries,12
ObjectId("5e8bacc58418f12a4f9e5cae"),3,2020,Mexico-Texas,Broccoli,37
ObjectId("5e8bacc58418f12a4f9e5caf"),3,2020,Mexico-Texas,Brussels Sprouts,3
ObjectId("5e8bacc58418f12a4f9e5cb0"),3,2020,Mexico-Texas,Cactus Leaf (nopales),1
ObjectId("5e8bacc58418f12a4f9e5cb1"),3,2020,Mexico-Texas,Cactus Pears,0
ObjectId("5e8bacc58418f12a4f9e5cb2"),3,2020,Mexico-Texas,Carrots,38
ObjectId("5e8bacc58418f12a4f9e5cb3"),3,2020,Mexico-Texas,Cauliflower,1
ObjectId("5e8bacc58418f12a4f9e5cb4"),3,2020,Mexico-Texas,Celery,5
ObjectId("5e8bacc58418f12a4f9e5cb5"),3,2020,Mexico-Texas,Chinese Cabbage,16
ObjectId("5e8bacc58418f12a4f9e5cb6"),3,2020,Mexico-Texas,Cucumbers,45
ObjectId("5e8bacc58418f12a4f9e5cb7"),3,2020,Mexico-Texas,Eggplant,2
ObjectId("5e8bacc58418f12a4f9e5cb8"),3,2020,Mexico-Texas,Guava,7
ObjectId("5e8bacc58418f12a4f9e5cb9"),3,2020,Mexico-Texas,Lettuce, Iceberg,1
ObjectId("5e8bacc58418f12a4f9e5cba"),3,2020,Mexico-Texas,Limes,52
ObjectId("5e8bacc58418f12a4f9e5cbb"),3,2020,Mexico-Texas,Misc Herbs,3
ObjectId("5e8bacc58418f12a4f9e5cbc"),3,2020,Mexico-Texas,Misc Tropical,42
ObjectId("5e8bacc58418f12a4f9e5cbd"),3,2020,Mexico-Texas,Mustard,0
ObjectId("5e8bacc58418f12a4f9e5cbe"),3,2020,Mexico-Texas,Okra,6
ObjectId("5e8bacc58418f12a4f9e5cbf"),3,2020,Mexico-Texas,Onions Dry,26
ObjectId("5e8bacc58418f12a4f9e5cc0"),3,2020,Mexico-Texas,Oranges,16
ObjectId("5e8bacc58418f12a4f9e5cc1"),3,2020,Mexico-Texas,Papaya,20
ObjectId("5e8bacc58418f12a4f9e5cc2"),3,2020,Mexico-Texas,Peppers, Bell Type,61
ObjectId("5e8bacc58418f12a4f9e5cc3"),3,2020,Mexico-Texas,Peppers, Other,16
ObjectId("5e8bacc58418f12a4f9e5cc4"),3,2020,Mexico-Texas,Pineapples,8
ObjectId("5e8bacc58418f12a4f9e5cc5"),3,2020,Mexico-Texas,Radishes,0
ObjectId("5e8bacc58418f12a4f9e5cc6"),3,2020,Mexico-Texas,Raspberries,30
ObjectId("5e8bacc58418f12a4f9e5cc7"),3,2020,Mexico-Texas,Squash,4
ObjectId("5e8bacc58418f12a4f9e5cc8"),3,2020,Mexico-Texas,Strawberries,41
ObjectId("5e8bacc58418f12a4f9e5cc9"),3,2020,Mexico-Texas,Tomatoes,87
ObjectId("5e8bacc58418f12a4f9e5cca"),3,2020,Mexico-Texas,Tomatoes, Cherry,4
ObjectId("5e8bacc58418f12a4f9e5ccb"),3,2020,Mexico-Texas,Tomatoes, Grape Type,4
ObjectId("5e8bacc58418f12a4f9e5ccc"),3,2020,Mexico-Texas,Tomatoes, Plum Type,65
ObjectId("5e8bacc58418f12a4f9e5ccd"),3,2020,Mexico-Texas,Watermelons,76
ObjectId("5e8bacc58418f12a4f9e5cce"),3,2020,Mexico-Texas,Cucumbers,16
ObjectId("5e8bacc58418f12a4f9e5ccf"),3,2020,Mexico-Texas,Onions Dry,205
ObjectId("5e8bacc58418f12a4f9e5cd0"),3,2020,Mexico-Texas,Watermelons,173
ObjectId("5e8bacc58418f12a4f9e5cd1"),3,2020,Mexico-Texas,Beans,0
ObjectId("5e8bacc58418f12a4f9e5cd2"),3,2020,Mexico-Texas,Beets,0
ObjectId("5e8bacc58418f12a4f9e5cd3"),3,2020,Mexico-Texas,Broccoli,0
ObjectId("5e8bacc58418f12a4f9e5cd4"),3,2020,Mexico-Texas,Cactus Leaf (nopales),3
ObjectId("5e8bacc58418f12a4f9e5cd5"),3,2020,Mexico-Texas,Cactus Pears,0
ObjectId("5e8bacc58418f12a4f9e5cd6"),3,2020,Mexico-Texas,Carrots,3
ObjectId("5e8bacc58418f12a4f9e5cd7"),3,2020,Mexico-Texas,Cauliflower,0
ObjectId("5e8bacc58418f12a4f9e5cd8"),3,2020,Mexico-Texas,Cucumbers,0
ObjectId("5e8bacc58418f12a4f9e5cd9"),3,2020,Mexico-Texas,Huauzontle,0
ObjectId("5e8bacc58418f12a4f9e5cda"),3,2020,Mexico-Texas,Lamb's Quarters (quilete),0
ObjectId("5e8bacc58418f12a4f9e5cdb"),3,2020,Mexico-Texas,Misc Herbs,2
ObjectId("5e8bacc58418f12a4f9e5cdc"),3,2020,Mexico-Texas,Misc Tropical,6
ObjectId("5e8bacc58418f12a4f9e5cdd"),3,2020,Mexico-Texas,Onions Dry,13
ObjectId("5e8bacc58418f12a4f9e5cde"),3,2020,Mexico-Texas,Onions Green,1
ObjectId("5e8bacc58418f12a4f9e5cdf"),3,2020,Mexico-Texas,Peppers, Bell Type,0
ObjectId("5e8bacc58418f12a4f9e5ce0"),3,2020,Mexico-Texas,Peppers, Other,9
ObjectId("5e8bacc58418f12a4f9e5ce1"),3,2020,Mexico-Texas,Radishes,1
ObjectId("5e8bacc58418f12a4f9e5ce2"),3,2020,Mexico-Texas,Squash,1
ObjectId("5e8bacc58418f12a4f9e5ce3"),3,2020,Mexico-Texas,Swiss Chard,0
ObjectId("5e8bacc58418f12a4f9e5ce4"),3,2020,Mexico-Texas,Watermelons,15
ObjectId("5e8bacc58418f12a4f9e5ce5"),3,2020,Mexico-Texas,Broccoli,1
ObjectId("5e8bacc58418f12a4f9e5ce6"),3,2020,Mexico-Texas,Cabbage,2
ObjectId("5e8bacc58418f12a4f9e5ce7"),3,2020,Mexico-Texas,Cauliflower,2
ObjectId("5e8bacc58418f12a4f9e5ce8"),3,2020,Mexico-Texas,Chinese Cabbage,2
ObjectId("5e8bacc58418f12a4f9e5ce9"),3,2020,Mexico-Texas,Kale Greens,0
ObjectId("5e8bacc58418f12a4f9e5cea"),3,2020,Mexico-Texas,Kohlrabi,0
ObjectId("5e8bacc58418f12a4f9e5ceb"),3,2020,Mexico-Texas,Misc Asian,17
ObjectId("5e8bacc58418f12a4f9e5cec"),3,2020,Mexico-Texas,Misc Asian Vegetables,0
ObjectId("5e8bacc58418f12a4f9e5ced"),3,2020,Mexico-Texas,Misc Herbs,0
ObjectId("5e8bacc58418f12a4f9e5cee"),3,2020,Mexico-Texas,Misc Tropical,1
ObjectId("5e8bacc58418f12a4f9e5cef"),3,2020,Mexico-Texas,Onions Green,0
ObjectId("5e8bacc58418f12a4f9e5cf0"),3,2020,Mexico-Texas,Peppers, Other,0
ObjectId("5e8bacc58418f12a4f9e5cf1"),3,2020,Mexico-Texas,Tomatoes,1
ObjectId("5e8bacc58418f12a4f9e5cf2"),3,2020,Mexico-Texas,Tomatoes, Plum Type,4
ObjectId("5e8bacc58418f12a4f9e5cf3"),3,2020,Mexico-Texas,Garlic,8
ObjectId("5e8bacc58418f12a4f9e5cf4"),3,2020,Mexico-Texas,Grapes,5
ObjectId("5e8bacc58418f12a4f9e5cf5"),3,2020,Mexico-Texas,Mangoes,94
ObjectId("5e8bacc58418f12a4f9e5cf6"),3,2020,Mexico-Texas,Garlic,0
ObjectId("5e8bacc58418f12a4f9e5cf7"),3,2020,Midatlantic,Apples,27
ObjectId("5e8bacc58418f12a4f9e5cf8"),3,2020,Other,Potatoes,57
ObjectId("5e8bacc58418f12a4f9e5cf9"),3,2020,Other,Potatoes,128
